epoch,train_loss,train_accuracy,test_accuracy,seconds
1,0.48378597751458485,0.8687666666666667,0.9173,7.015125249999983
2,0.24059742427269618,0.9312,0.9442,7.1315932079996855
3,0.18369197333653767,0.9471166666666667,0.9543,7.004585667000356
4,0.14904840826590857,0.9572333333333334,0.96,6.94358558300155
