epoch,train_loss,train_accuracy,test_accuracy,seconds
1,0.2922125645140807,0.9107,0.9647,8.881112459002907
2,0.11001274899244308,0.9665833333333333,0.9698,8.76976137499878
3,0.07928513847986857,0.976,0.9787,9.256344958001137
4,0.06402382865299781,0.9804833333333334,0.9794,9.07232812499933
5,0.054554824877281985,0.98335,0.9801,8.903496916998847
6,0.04607825302730004,0.9857333333333334,0.9853,8.920170290999522
7,0.04197480437171956,0.9873166666666666,0.9856,8.952722500001983
8,0.03734969844048222,0.9883,0.986,8.925348290998954
