epoch,train_loss,train_accuracy,test_accuracy,seconds
1,0.33073267753124236,0.9038666666666667,0.9458,7.879424917000506
2,0.13597872541944186,0.9603166666666667,0.9684,7.55639466699904
3,0.09395625088512898,0.9728,0.9759,7.570968082998661
4,0.07447676725884278,0.9780333333333333,0.9699,7.417948874999638
