epoch,train_loss,train_accuracy,test_accuracy,seconds
1,0.319008305589358,0.9033166666666667,0.944,8.489498249997268
2,0.11998815185626348,0.9646166666666667,0.9668,8.433978665998438
3,0.08330685084636012,0.9745333333333334,0.972,8.199484165998001
4,0.0664866333981355,0.9794,0.9783,8.136850499999127
5,0.05551692327409983,0.9829666666666667,0.9829,8.386879041998327
6,0.0478683501581351,0.9851166666666666,0.9701,8.77003133299877
