epoch,train_loss,train_accuracy,test_accuracy,seconds
1,0.36389064542452493,0.889,0.8853,5.335593625000911
2,0.1550471801817417,0.9522333333333334,0.9572,5.2951310419994115
3,0.115764481301109,0.9641166666666666,0.9622,5.330481083998166
4,0.0920543963432312,0.9720166666666666,0.9691,5.328961625000375
