epoch,train_loss,train_accuracy,test_accuracy,seconds
1,0.319008305589358,0.9033166666666667,0.944,12.144717416002095
2,0.11998815185626348,0.9646166666666667,0.9668,8.87021279200053
3,0.08330685084636012,0.9745333333333334,0.972,8.933218084002874
4,0.0664866333981355,0.9794,0.9783,11.036796332999074
5,0.05551692327409983,0.9829666666666667,0.9829,10.67225524999958
6,0.0478683501581351,0.9851166666666666,0.9701,9.08620237499781
7,0.04295738739060859,0.9865,0.9828,9.219233625000925
8,0.03791811142445852,0.98805,0.9862,9.433763250002812
